EntropyAverage,EntropyStd,EntropyMedian,EntropyMin,EntropyMax,VAverage,VStd,VMedian,VMin,VMax,reward,step
-0.03139474801719189,0.0031604241806685376,-0.03361430764198303,-0.0336446687579155,-0.02692526765167713,16.079713662465412,7.876901340717315,13.64202880859375,7.885180950164795,26.711931228637695,12.0,2
-0.024629170230279367,0.012664211378036114,-0.033538106828927994,-0.03363005444407463,-0.006719349417835474,17.70793280998866,12.169821663010005,25.778118133544922,0.5080795884132385,26.837600708007812,9.0,8
-0.03242056020958857,0.002589784269407621,-0.03364115580916405,-0.03366110101342201,-0.0269217099994421,23.379473772915926,7.336748721348553,26.651430130004883,2.911618232727051,26.842411041259766,51.0,14
-0.02181476296391338,0.011997843966003532,-0.023446128237992525,-0.03363336622714996,-0.006733429152518511,13.675235345959663,13.10432882497273,13.704356044530869,0.49109137058258057,26.801137924194336,11.0,17
-0.031123208114877343,0.004680238413821219,-0.03364712558686733,-0.03365934640169144,-0.02019830234348774,21.114635080099106,9.428817581036146,26.442578315734863,2.9520180225372314,26.945287704467773,35.0,25
-0.025196902104653418,0.011009119696027971,-0.0302182137966156,-0.03361794725060463,-0.006733233574777842,14.123454421758652,12.482531262377679,14.68819260597229,0.4870976209640503,26.630334854125977,13.0,26
-0.025928380100854805,0.012149006336005247,-0.03361329436302185,-0.033642638474702835,-0.006705097854137421,19.151017593485967,11.77148162943148,26.399520874023438,0.4880705177783966,27.124187469482422,25.0,32
-0.029401560430414975,0.008864907900181969,-0.03363540582358837,-0.03365720808506012,-0.006671804003417492,21.837529748678207,8.900000137253313,26.50599193572998,0.6215760707855225,26.718936920166016,33.0,37
-0.03305928921326995,0.0018502247744575525,-0.033636847510933876,-0.03365447744727135,-0.026924921199679375,23.90839131673177,6.1613677917561365,26.391408920288086,6.657331466674805,26.927392959594727,57.0,45
-0.03290087729692459,0.0020540085276561626,-0.03358534909784794,-0.03364500403404236,-0.026740796864032745,24.188964581489564,7.183043962443622,26.4963436126709,2.653945207595825,27.004833221435547,47.0,50
-0.026846050284802914,0.01040082521094317,-0.03355512022972107,-0.033618975430727005,-0.006733435206115246,16.54941670894623,12.228161728788672,26.128158569335938,0.4857417345046997,27.033681869506836,18.0,55
-0.02900058648083359,0.009997338600406613,-0.03357265330851078,-0.03365354984998703,-0.006574250292032957,22.25842844694853,9.67865338272492,26.547832489013672,0.4862695038318634,26.967052459716797,50.0,61
-0.0282067846506834,0.00784651926772757,-0.03355960547924042,-0.03358994796872139,-0.013385752215981483,19.000034856796265,10.208903541142986,26.44412612915039,0.7854411602020264,26.620515823364258,19.0,66
-0.02796204046656688,0.00825294915723612,-0.03359784372150898,-0.03364536538720131,-0.013143785297870636,18.99533881743749,10.820534086026042,26.285191535949707,0.9066928625106812,27.082130432128906,23.0,71
-0.026579217053949833,0.006622289830236105,-0.026531415060162544,-0.03351254761219025,-0.019741490483283997,15.456560552120209,11.536990710982483,16.773072004318237,1.2193872928619385,27.060710906982422,14.0,75
-0.02408375134691596,0.011660812562803992,-0.03334281966090202,-0.03361654654145241,-0.006639255676418543,16.762430453300475,12.311574445972688,26.524795532226562,0.945731520652771,27.05828094482422,16.0,77
-0.021905547318359215,0.011302842323617598,-0.026781214401125908,-0.03265112265944481,-0.006284304894506931,13.252400199572245,10.0985837143778,13.812005996704102,0.6139072179794312,25.331287384033203,8.0,81
-0.030912693589925766,0.0028641386410624124,-0.03238878399133682,-0.033441267907619476,-0.026908028870821,16.061687469482422,8.998504708895457,14.654777526855469,5.81182861328125,27.718456268310547,12.0,86
-0.03358049318194389,6.569370821432049e-05,-0.03360239788889885,-0.03364431485533714,-0.03347286209464073,21.532203793525696,8.990768842525776,26.594161987304688,5.963781833648682,26.976709365844727,18.0,89
-0.03348478302359581,0.00010472030390388972,-0.03349301032721996,-0.03360560163855553,-0.03334750980138779,21.58581519126892,9.165038613837655,26.488779067993164,5.732251167297363,27.633451461791992,18.0,94
-0.032795424479991196,0.0029047735887626183,-0.03350173868238926,-0.03364868834614754,-0.020158978179097176,25.159230464696883,5.501322341859734,26.360136032104492,1.323799967765808,27.989431381225586,96.0,106
-0.026585669722408056,0.008065726238337187,-0.02981493528932333,-0.033260468393564224,-0.013452339917421341,14.35159695148468,11.8563801612408,14.09796142578125,2.4878106117248535,26.722654342651367,14.0,110
-0.026513537857681513,0.011422554594344657,-0.03295905515551567,-0.033402614295482635,-0.006733426824212074,14.696992553770542,11.607757494021994,16.040579319000244,0.4670673906803131,26.239744186401367,14.0,114
-0.029716428435806717,0.009394412150139524,-0.03355421498417854,-0.03361285850405693,-0.0067052957601845264,22.868707724979945,8.907694512466875,26.326257705688477,1.071688175201416,27.296411514282227,29.0,120
-0.02999000670388341,0.0032778294133277374,-0.029958197847008705,-0.03350979462265968,-0.026533836498856544,17.46981519460678,10.08277393138611,20.096230506896973,2.555774450302124,27.131025314331055,16.0,124
-0.025066745467483997,0.0109504296036475,-0.029972177930176258,-0.033589884638786316,-0.006732741370797157,14.151377201080322,12.682127649674877,14.610093593597412,0.5273218154907227,26.857999801635742,13.0,128
-0.02519489387050271,0.010628166028868591,-0.03252941370010376,-0.03360831364989281,-0.006732345093041658,16.43912633061409,12.565678470472108,26.35910415649414,0.4601577818393707,27.224258422851562,17.0,132
-0.02815606113937166,0.009929911244905592,-0.033504463732242584,-0.033612996339797974,-0.006272178143262863,20.73187102211846,10.21180010136071,26.125354766845703,0.8954291343688965,27.144739151000977,36.0,139
